age,usage_gb,complaints,tenure_months,plan_type,churn
22.0,5.4,4,37,Postpaid,0
58.0,8.8,0,26,Postpaid,0
52.0,13.6,1,50,Postpaid,0
40.0,8.2,4,29,Postpaid,0
40.0,10.3,4,40,Prepaid,0
62.0,14.6,0,55,Prepaid,0
22.0,9.9,5,9,Prepaid,0
54.0,13.4,5,19,Prepaid,0
28.0,21.6,5,16,Prepaid,0
22.0,11.0,1,10,Postpaid,0
45.0,19.1,4,39,Prepaid,1
68.0,15.4,0,1,Prepaid,0
56.0,3.2,1,23,Prepaid,0
57.0,5.4,0,8,Postpaid,0
55.0,7.0,2,37,Postpaid,0
58.0,6.9,4,45,Prepaid,0
44.0,11.5,1,28,Postpaid,0
24.0,15.7,1,27,Postpaid,0
61.0,19.5,1,27,Postpaid,0
41.0,13.8,1,12,Postpaid,0
44.0,9.3,4,23,Postpaid,0
37.0,0.0,1,56,Postpaid,1
27.0,12.4,1,3,Prepaid,0
66.0,12.2,1,47,Postpaid,0
58.0,13.1,1,10,Prepaid,1
51.0,24.6,5,7,Prepaid,0
38.0,19.4,1,17,Postpaid,0
60.0,16.7,2,16,Postpaid,0
46.0,6.2,3,19,Postpaid,0
41.0,8.9,1,51,Postpaid,0
41.0,11.4,2,54,Postpaid,0
29.0,7.3,1,41,Prepaid,0
22.0,15.0,2,9,Postpaid,0
46.0,14.1,0,56,Prepaid,0
64.0,5.5,2,51,Prepaid,0
21.0,19.2,2,5,Prepaid,0
62.0,12.6,2,23,Prepaid,1
61.0,1.6,0,46,Postpaid,0
32.0,11.7,5,6,Postpaid,0
50.0,13.7,0,5,Prepaid,0
26.0,17.8,0,36,Postpaid,0
57.0,10.0,0,20,Postpaid,0
54.0,17.0,5,27,Postpaid,0
36.0,13.1,1,45,Prepaid,0
21.0,4.1,2,33,Postpaid,0
68.0,3.5,4,42,Postpaid,0
41.0,18.7,0,8,Prepaid,0
64.0,19.2,0,1,Prepaid,0
53.0,13.9,1,15,Prepaid,0
58.0,21.0,4,12,Prepaid,0
57.0,18.3,5,20,Prepaid,0
28.0,16.1,3,46,Postpaid,0
36.0,6.5,5,9,Prepaid,0
42.0,22.4,5,8,Postpaid,0
43.0,15.2,1,12,Prepaid,0
20.0,9.7,1,20,Prepaid,1
46.0,8.0,0,12,Postpaid,0
26.0,13.5,4,11,Postpaid,1
56.0,2.0,4,35,Postpaid,0
53.0,16.2,5,7,Postpaid,1
65.0,6.3,3,10,Postpaid,0
56.0,14.2,5,50,Postpaid,0
37.0,8.9,5,2,Postpaid,0
68.0,10.4,4,4,Prepaid,1
39.0,7.5,4,5,Prepaid,1
34.0,11.0,0,32,Postpaid,0
65.0,23.3,4,41,Prepaid,0
37.0,20.3,5,41,Prepaid,0
21.0,14.1,1,41,Prepaid,0
42.0,11.8,4,4,Postpaid,0
59.0,17.1,2,21,Prepaid,0
27.0,18.8,1,38,Postpaid,0
42.0,7.0,4,41,Postpaid,0
24.0,11.5,0,20,Postpaid,0
53.0,1.1,2,50,Prepaid,0
42.0,18.7,5,50,Postpaid,0
35.0,24.4,0,46,Postpaid,0
29.0,12.5,0,48,Prepaid,0
47.0,0.0,5,58,Postpaid,0
52.0,15.7,4,47,Prepaid,0
66.0,6.6,2,35,Postpaid,0
40.0,8.0,2,24,Postpaid,0
26.0,15.8,5,22,Prepaid,0
