age,usage_gb,complaints,tenure_months,plan_type,churn,plan_type_enc
22.0,5.4,4.0,37.0,Postpaid,0,1
58.0,8.8,0.0,26.0,Postpaid,0,1
52.0,13.6,1.0,50.0,Postpaid,0,1
40.0,8.2,4.0,29.0,Postpaid,0,1
40.0,10.3,4.0,40.0,Prepaid,0,0
62.0,14.6,0.0,55.0,Prepaid,0,0
22.0,9.9,5.0,9.0,Prepaid,0,0
54.0,13.4,5.0,19.0,Prepaid,0,0
28.0,21.6,5.0,16.0,Prepaid,0,0
22.0,11.0,1.0,10.0,Postpaid,0,1
45.0,19.1,4.0,39.0,Prepaid,1,0
68.0,15.4,0.0,1.0,Prepaid,0,0
56.0,3.2,1.0,23.0,Prepaid,0,0
57.0,5.4,0.0,8.0,Postpaid,0,1
55.0,7.0,2.0,37.0,Postpaid,0,1
58.0,6.9,4.0,45.0,Prepaid,0,0
44.0,11.5,1.0,28.0,Postpaid,0,1
24.0,15.7,1.0,27.0,Postpaid,0,1
61.0,19.5,1.0,27.0,Postpaid,0,1
41.0,13.8,1.0,12.0,Postpaid,0,1
44.0,9.3,4.0,23.0,Postpaid,0,1
37.0,0.0,1.0,56.0,Postpaid,1,1
27.0,12.4,1.0,3.0,Prepaid,0,0
66.0,12.2,1.0,47.0,Postpaid,0,1
58.0,13.1,1.0,10.0,Prepaid,1,0
51.0,24.6,5.0,7.0,Prepaid,0,0
38.0,19.4,1.0,17.0,Postpaid,0,1
60.0,16.7,2.0,16.0,Postpaid,0,1
46.0,6.2,3.0,19.0,Postpaid,0,1
41.0,8.9,1.0,51.0,Postpaid,0,1
41.0,11.4,2.0,54.0,Postpaid,0,1
29.0,7.3,1.0,41.0,Prepaid,0,0
22.0,15.0,2.0,9.0,Postpaid,0,1
46.0,14.1,0.0,56.0,Prepaid,0,0
64.0,5.5,2.0,51.0,Prepaid,0,0
21.0,19.2,2.0,5.0,Prepaid,0,0
62.0,12.6,2.0,23.0,Prepaid,1,0
61.0,1.6,0.0,46.0,Postpaid,0,1
32.0,11.7,5.0,6.0,Postpaid,0,1
50.0,13.7,0.0,5.0,Prepaid,0,0
26.0,17.8,0.0,36.0,Postpaid,0,1
57.0,10.0,0.0,20.0,Postpaid,0,1
54.0,17.0,5.0,27.0,Postpaid,0,1
36.0,13.1,1.0,45.0,Prepaid,0,0
21.0,4.1,2.0,33.0,Postpaid,0,1
68.0,3.5,4.0,42.0,Postpaid,0,1
41.0,18.7,0.0,8.0,Prepaid,0,0
64.0,19.2,0.0,1.0,Prepaid,0,0
53.0,13.9,1.0,15.0,Prepaid,0,0
58.0,21.0,4.0,12.0,Prepaid,0,0
57.0,18.3,5.0,20.0,Prepaid,0,0
28.0,16.1,3.0,46.0,Postpaid,0,1
36.0,6.5,5.0,9.0,Prepaid,0,0
42.0,22.4,5.0,8.0,Postpaid,0,1
43.0,15.2,1.0,12.0,Prepaid,0,0
20.0,9.7,1.0,20.0,Prepaid,1,0
46.0,8.0,0.0,12.0,Postpaid,0,1
26.0,13.5,4.0,11.0,Postpaid,1,1
56.0,2.0,4.0,35.0,Postpaid,0,1
53.0,16.2,5.0,7.0,Postpaid,1,1
65.0,6.3,3.0,10.0,Postpaid,0,1
56.0,14.2,5.0,50.0,Postpaid,0,1
37.0,8.9,5.0,2.0,Postpaid,0,1
68.0,10.4,4.0,4.0,Prepaid,1,0
39.0,7.5,4.0,5.0,Prepaid,1,0
34.0,11.0,0.0,32.0,Postpaid,0,1
65.0,23.3,4.0,41.0,Prepaid,0,0
37.0,20.3,5.0,41.0,Prepaid,0,0
21.0,14.1,1.0,41.0,Prepaid,0,0
42.0,11.8,4.0,4.0,Postpaid,0,1
59.0,17.1,2.0,21.0,Prepaid,0,0
27.0,18.8,1.0,38.0,Postpaid,0,1
42.0,7.0,4.0,41.0,Postpaid,0,1
24.0,11.5,0.0,20.0,Postpaid,0,1
53.0,1.1,2.0,50.0,Prepaid,0,0
42.0,18.7,5.0,50.0,Postpaid,0,1
35.0,24.4,0.0,46.0,Postpaid,0,1
29.0,12.5,0.0,48.0,Prepaid,0,0
47.0,0.0,5.0,58.0,Postpaid,0,1
52.0,15.7,4.0,47.0,Prepaid,0,0
66.0,6.6,2.0,35.0,Postpaid,0,1
40.0,8.0,2.0,24.0,Postpaid,0,1
26.0,15.8,5.0,22.0,Prepaid,0,0
61.0,13.5,4.0,49.0,Postpaid,0,1
50.0,9.1,5.0,18.0,Prepaid,0,0
54.0,8.1,0.0,38.0,Postpaid,0,1
23.0,12.8,3.0,30.0,Postpaid,0,1
34.0,9.5,4.0,23.0,Prepaid,0,0
57.0,5.3,0.0,27.0,Postpaid,0,1
61.0,10.0,3.0,5.0,Postpaid,0,1
40.0,14.0,0.0,42.0,Prepaid,0,0
59.0,10.9,5.0,4.0,Postpaid,0,1
61.0,3.5,4.0,5.0,Prepaid,1,0
38.0,17.9,1.0,15.0,Prepaid,0,0
64.0,0.0,3.0,32.0,Prepaid,0,0
32.0,9.3,0.0,18.0,Prepaid,0,0
30.0,8.3,4.0,52.0,Prepaid,0,0
53.0,12.9,1.0,55.0,Prepaid,0,0
51.0,15.4,3.0,24.0,Postpaid,0,1
25.0,18.8,0.0,59.0,Prepaid,0,0
61.0,7.7,0.0,6.0,Postpaid,0,1
28.0,15.5,5.0,9.0,Prepaid,0,0
59.0,13.2,2.0,21.0,Prepaid,0,0
18.0,1.7,0.0,56.0,Postpaid,0,1
59.0,23.4,4.0,30.0,Prepaid,0,0
58.0,3.4,1.0,42.0,Prepaid,0,0
58.0,14.5,3.0,39.0,Postpaid,0,1
52.0,14.3,4.0,30.0,Prepaid,1,0
42.0,13.7,4.0,55.0,Prepaid,0,0
54.0,9.0,1.0,57.0,Postpaid,0,1
32.0,17.0,1.0,27.0,Prepaid,0,0
58.0,2.6,1.0,43.0,Postpaid,0,1
46.0,11.6,3.0,37.0,Prepaid,0,0
41.0,8.6,4.0,36.0,Prepaid,0,0
44.0,7.9,3.0,6.0,Prepaid,0,0
47.0,14.6,2.0,13.0,Prepaid,0,0
19.0,18.5,0.0,59.0,Postpaid,0,1
25.0,9.9,5.0,15.0,Postpaid,0,1
30.0,16.7,3.0,39.0,Postpaid,0,1
23.0,12.3,3.0,54.0,Prepaid,0,0
40.0,6.6,0.0,36.0,Postpaid,0,1
52.0,10.5,1.0,13.0,Postpaid,0,1
52.0,10.2,1.0,51.0,Prepaid,0,0
42.0,7.8,3.0,2.0,Prepaid,0,0
62.0,14.6,4.0,43.0,Prepaid,0,0
47.0,13.4,5.0,16.0,Prepaid,1,0
22.0,2.5,3.0,38.0,Prepaid,0,0
57.0,2.1,2.0,29.0,Prepaid,0,0
47.0,14.5,2.0,34.0,Postpaid,0,1
51.0,7.1,4.0,23.0,Prepaid,1,0
47.0,13.8,1.0,32.0,Prepaid,1,0
46.0,16.7,2.0,56.0,Postpaid,0,1
22.0,4.4,4.0,49.0,Prepaid,0,0
47.0,3.5,3.0,25.0,Prepaid,0,0
59.0,22.0,2.0,56.0,Prepaid,0,0
33.0,14.1,4.0,53.0,Postpaid,0,1
49.0,9.5,1.0,38.0,Prepaid,0,0
19.0,6.4,0.0,36.0,Postpaid,0,1
